theme,sub_theme,feature_name,latitude,longitude,Description,Address
Recreational & Entertainment,Private Sports Club/Facility,Royal Park Golf Course,-37.78191713,144.9563091,,"11 Old Poplar Rd, Parkville VIC 3052"
Recreational & Entertainment,Aquarium,Melbourne Aquarium,-37.82096278,144.9584257,"Interactive multilevel aquarium housing 10,000+ animals, including sharks & saltwater crocodiles.","King St, Melbourne VIC 3000"
Recreational & Entertainment,Casino,Crown Entertainment Complex,-37.82357611,144.9573129,"Sprawling riverside entertainment complex with 3 hotels, spas & a casino, plus restaurants & bars.","8 Whiteman St, Southbank VIC 3006"
Retail & Shopping,Retail/Office,DFO South Wharf,-37.8248874,144.9497943,"Shopping centre featuring outlet stores from domestic & international brands, plus a food court.","20 Convention Centre Pl, South Wharf VIC 3006"
Retail & Shopping,Retail/Office,Waterfront City,-37.81505666,144.9391369,,"429-437 Docklands Dr, Docklands VIC 3008"
Retail & Shopping,Retail/Office/Carpark,Melbourne Central,-37.81053718,144.9627497,"Various retailers & dining options, plus a cinema, offered in a multilevel space with a glass dome.","Cnr LaTrobe and Swanston Streets, Melbourne VIC 3000"
Retail & Shopping,Retail/Office/Residential/Carpark,QV Village,-37.81068919,144.9657146,"Contemporary shopping enter offering trendy stores, eateries, billiards, bowling & a turf courtyard.","Cnr Lonsdale Street and, Swanston St, Melbourne VIC 3000"
Retail & Shopping,Department Store,Myer,-37.8135912,144.9638551,,"314/336 Bourke St, Melbourne VIC 3000"
Retail & Shopping,Department Store,David Jones,-37.81331273,144.9643735,,"310 Bourke St, Melbourne VIC 3000"
Retail & Shopping,Retail,Queen Victoria Market,-37.8075002,144.9571585,"Longtime market selling food, clothing & more in a historic landmark spanning 2 city blocks.","Queen St, Melbourne VIC 3000"
